id,scientific_name,common_name,image_url,taxa_url
154450,Tapinella atrotomentosa,Velvet-footed Tap,https://inaturalist-open-data.s3.amazonaws.com/photos/27334337/medium.jpg,https://www.inaturalist.org/taxa/154450
118202,Tapinella panuoides,Oyster Rollrim,https://inaturalist-open-data.s3.amazonaws.com/photos/175119141/medium.jpg,https://www.inaturalist.org/taxa/118202
736008,Sebacina schweinitzii,jellied false coral fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/2339656/medium.jpg,https://www.inaturalist.org/taxa/736008
125705,Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/412458489/medium.jpeg,https://www.inaturalist.org/taxa/125705
525060,Trichoderma sulphureum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/47463035/medium.jpg,https://www.inaturalist.org/taxa/525060
63489,Tylopilus felleus,Bitter Bolete,https://static.inaturalist.org/photos/87800953/medium.jpg,https://www.inaturalist.org/taxa/63489
384715,Vararia investiens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/158267520/medium.jpeg,https://www.inaturalist.org/taxa/384715
63419,Xeromphalina kauffmanii,Cross-veined Troop Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/4022684/medium.jpg,https://www.inaturalist.org/taxa/63419
179151,Hemitrichia serpula,Pretzel slime mold,https://static.inaturalist.org/photos/114409607/medium.jpeg,https://www.inaturalist.org/taxa/179151
47680,Lycogala epidendrum,Wolf's Milk,https://static.inaturalist.org/photos/125576822/medium.jpg,https://www.inaturalist.org/taxa/47680
